file,r2,error
863609060719360.csv,0.6529580726803259,
863609060719451.csv,0.6770659607807203,
863609060723388.csv,0.744367138094991,
863609060726225.csv,0.6749277322542913,
863609060727223.csv,0.6059496268894159,
863609060727256.csv,,load_data_error: ['TRACKS.MUNIC.MDI_OBD_SPEED (km/h)']
863609060731506.csv,0.7652105423220823,
863609060734633.csv,,"load_data_error: time data ""2025-09-19 16:37:34"" doesn't match format ""%Y-%m-%d %H:%M:%S.%f"", at position 57140. You might want to try:
    - passing `format` if your strings have a consistent format;
    - passing `format='ISO8601'` if your strings are all ISO8601 but not necessarily in exactly the same format;
    - passing `format='mixed'`, and the format will be inferred for each element individually. You might want to use `dayfirst` alongside this."
863609060734674.csv,0.6400652938008162,
863609060735002.csv,0.632133432674516,
863609060735135.csv,0.5163867873148507,
863609060735341.csv,0.5196341635620634,
863609060735457.csv,0.5177782648534328,
863609060735564.csv,0.8720420509806132,
863609060735630.csv,0.6996725150769809,
863609060738808.csv,0.6112741606533263,
863609060747098.csv,0.5928933939729769,
863609060747155.csv,0.5534582610805094,
863609060747387.csv,0.46331324498270576,
863609060750928.csv,0.4899416334042479,
863609060751108.csv,0.5904018942560441,
863609060751546.csv,,"load_data_error: time data ""2025-09-19 10:00:02"" doesn't match format ""%Y-%m-%d %H:%M:%S.%f"", at position 57140. You might want to try:
    - passing `format` if your strings have a consistent format;
    - passing `format='ISO8601'` if your strings are all ISO8601 but not necessarily in exactly the same format;
    - passing `format='mixed'`, and the format will be inferred for each element individually. You might want to use `dayfirst` alongside this."
863609060751819.csv,0.5419409471762616,
863609060752569.csv,0.5042525276038312,
863609061110692.csv,0.6826977017755114,
863609061112920.csv,0.6147963967373246,
863609061115709.csv,0.6066817902585213,
863609061120394.csv,0.4053847501989334,
863609061120519.csv,0.5641116462579696,
863609061124826.csv,0.7050971539333919,
863609061129528.csv,0.34294094242137374,
863609061131185.csv,0.4963209152171457,
863609061132456.csv,,load_data_error: ['TRACKS.MUNIC.MDI_OBD_SPEED (km/h)']
863609061132563.csv,0.7121725333629817,
863609061134593.csv,0.4096283313468102,
863609061139345.csv,0.8257748514865717,
863609061229534.csv,0.6282766345742485,
863609061230631.csv,0.8697184979529258,
863609061234005.csv,,load_data_error: ['TRACKS.MUNIC.MDI_OBD_SPEED (km/h)']
863609061258335.csv,0.6213791901035843,
863609061275099.csv,0.6380121724064055,
